;grid_import_el;pv_el;grid_export_el;gas_import;hp_heat;boiler_heat;heat_demand;heat_source
2025-01-01 00:00:00;86.386365;0.0;0.0;129.843;200.0;144.27;344.27;113.61363
2025-01-01 01:00:00;86.513632;0.0;0.0;155.943;200.0;173.27;373.27;113.48637
2025-01-01 02:00:00;87.001238;0.0;0.0;155.943;200.0;173.27;373.27;112.99876
2025-01-01 03:00:00;87.380606;0.0;0.0;155.943;200.0;173.27;373.27;112.61939
2025-01-01 04:00:00;87.618459;0.0;0.0;153.243;200.0;170.27;370.27;112.38154
2025-01-01 05:00:00;87.985378;0.0;0.0;153.243;200.0;170.27;370.27;112.01462
2025-01-01 06:00:00;88.796604;0.0;0.0;153.243;200.0;170.27;370.27;111.2034
2025-01-01 07:00:00;89.935916;0.0;0.0;166.743;200.0;185.27;385.27;110.06408
2025-01-01 08:00:00;89.601756;0.0;0.0;166.743;200.0;185.27;385.27;110.39824
2025-01-01 09:00:00;88.412406;0.0;0.0;166.743;200.0;185.27;385.27;111.58759
2025-01-01 10:00:00;86.989967;0.0;0.0;145.359;200.0;161.51;361.51;113.01003
2025-01-01 11:00:00;86.312276;0.0;0.0;145.359;200.0;161.51;361.51;113.68772
2025-01-01 12:00:00;85.448261;0.0;0.0;145.359;200.0;161.51;361.51;114.55174
2025-01-01 13:00:00;83.448459;0.0;0.0;156.834;200.0;174.26;374.26;116.55154
2025-01-01 14:00:00;82.040041;0.0;0.0;156.834;200.0;174.26;374.26;117.95996
2025-01-01 15:00:00;81.263811;0.0;0.0;156.834;200.0;174.26;374.26;118.73619
2025-01-01 16:00:00;80.42018;0.0;0.0;128.043;200.0;142.27;342.27;119.57982
2025-01-01 17:00:00;79.51269;0.0;0.0;128.043;200.0;142.27;342.27;120.48731
2025-01-01 18:00:00;80.498493;0.0;0.0;128.043;200.0;142.27;342.27;119.50151
2025-01-01 19:00:00;80.370789;0.0;0.0;77.652;200.0;86.28;286.28;119.62921
2025-01-01 20:00:00;80.771048;0.0;0.0;77.652;200.0;86.28;286.28;119.22895
2025-01-01 21:00:00;80.547091;0.0;0.0;77.652;200.0;86.28;286.28;119.45291
2025-01-01 22:00:00;81.066467;0.0;0.0;112.761;200.0;125.29;325.29;118.93353
2025-01-01 23:00:00;83.321315;0.0;0.0;112.761;200.0;125.29;325.29;116.67869
2025-01-02 00:00:00;87.944384;0.0;0.0;112.761;200.0;125.29;325.29;112.05562
2025-01-02 01:00:00;93.562357;0.0;0.0;166.752;200.0;185.28;385.28;106.43764
2025-01-02 02:00:00;96.024581;0.0;0.0;166.752;200.0;185.28;385.28;103.97542
2025-01-02 03:00:00;96.342795;0.0;0.0;166.752;200.0;185.28;385.28;103.65721
2025-01-02 04:00:00;96.296928;0.0;0.0;218.061;200.0;242.29;442.29;103.70307
2025-01-02 05:00:00;96.284667;0.0;0.0;218.061;200.0;242.29;442.29;103.71533
2025-01-02 06:00:00;95.592748;0.0;0.0;218.061;200.0;242.29;442.29;104.40725
2025-01-02 07:00:00;95.300583;0.0;0.0;267.525;200.0;297.25;497.25;104.69942
2025-01-02 08:00:00;94.156829;0.0;0.0;267.525;200.0;297.25;497.25;105.84317
2025-01-02 09:00:00;92.353883;0.0;0.0;267.525;200.0;297.25;497.25;107.64612
