;grid_import_el;pv_el;grid_export_el;gas_import;hp_heat;boiler_heat;heat_demand
2025-01-01 00:00:00;94.421149;0.0;0.0;0.0;344.27;0.0;344.27
2025-01-01 01:00:00;102.37483;0.0;0.0;0.0;373.27;0.0;373.27
2025-01-01 02:00:00;102.37483;0.0;0.0;-1.0579649e-12;373.27;-1.1755165e-12;373.27
2025-01-01 03:00:00;102.37483;0.0;0.0;-8.8836932e-12;373.27;-9.8707702e-12;373.27
2025-01-01 04:00:00;101.55203;0.0;0.0;0.0;370.27;0.0;370.27
2025-01-01 05:00:00;101.55203;0.0;0.0;-6.7741635e-12;370.27;-7.5268483e-12;370.27
2025-01-01 06:00:00;101.55203;0.0;0.0;-6.7401187e-12;370.27;-7.4890208e-12;370.27
2025-01-01 07:00:00;105.66601;0.0;0.0;0.0;385.27;0.0;385.27
2025-01-01 08:00:00;105.66601;0.0;0.0;0.0;385.27;0.0;385.27
2025-01-01 09:00:00;105.66601;0.0;0.0;-5.262539e-12;385.27;-5.8472656e-12;385.27
2025-01-01 10:00:00;99.149474;0.0;0.0;0.0;361.51;0.0;361.51
2025-01-01 11:00:00;99.149474;0.0;0.0;-2.7970913e-12;361.51;-3.1078793e-12;361.51
2025-01-01 12:00:00;99.149474;0.0;0.0;0.0;361.51;0.0;361.51
2025-01-01 13:00:00;102.64635;0.0;0.0;0.0;374.26;0.0;374.26
2025-01-01 14:00:00;102.64635;0.0;0.0;-1.4893761e-12;374.26;-1.6548623e-12;374.26
2025-01-01 15:00:00;102.64635;0.0;0.0;-2.1159297e-12;374.26;-2.351033e-12;374.26
2025-01-01 16:00:00;93.872619;0.0;0.0;0.0;342.27;0.0;342.27
2025-01-01 17:00:00;93.872619;0.0;0.0;-1.0579649e-12;342.27;-1.1755165e-12;342.27
2025-01-01 18:00:00;93.872619;0.0;0.0;-2.1159297e-12;342.27;-2.351033e-12;342.27
2025-01-01 19:00:00;78.516532;0.0;0.0;0.0;286.28;0.0;286.28
